aspect_label,count,percentage
Features & Content,7761,45.71479059904577
Ads Experience,4691,27.631501443128943
Subscription & Pricing,2840,16.728515049773225
Performance & Stability,778,4.582670672085763
Account/Login,640,3.7698062083995993
Audio Quality,219,1.289980561936738
UI/UX,48,0.28273546562997
