scenario,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,min_class_f1,status
original_7class,0.9452282158,0.9405558504,0.8676421045,0.8919681273,0.9452074398,0.9452282158,0.9449450858,0.6666666667,baseline
merged_5class,0.9502074689,0.9341269083,0.9402876428,0.9367812077,0.9502595429,0.9502074689,0.9501424836,0.8898305085,selected
