epoch,loss,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_f1_weighted,learning_rate,grad_norm,step,eval_precision_weighted,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,0.7001135898784479,,,,,,,1.3334891693937978e-05,4.932640075683594,4278,,,,,,,,,,
1.0,,0.6554391980171204,0.7092309790019089,0.7077348097265067,0.722716789061877,0.6927381569203735,0.7249885273074695,,,4278,0.7722534927542096,0.7092309790019089,51.6026,284.249,17.77,,,,,
2.0,0.5902164097197873,,,,,,,6.668225027271311e-06,7.20503044128418,8556,,,,,,,,,,
2.0,,0.6815212965011597,0.7379329151895282,0.7102410510575868,0.7227793297756238,0.7098912225067178,0.7459189485323289,,,8556,0.7638430915558648,0.7379329151895282,51.6296,284.101,17.761,,,,,
3.0,0.500631638250935,,,,,,,1.5583606046439148e-09,4.202083587646484,12834,,,,,,,,,,
3.0,,0.7219116687774658,0.731728933733297,0.7102075784820957,0.7265728101760071,0.7080119965840762,0.7422586286137404,,,12834,0.7670039598760856,0.731728933733297,51.9002,282.619,17.669,,,,,
3.0,,,,,,,,,,12834,,,,,,2530.6255,81.141,5.071,5879529349189524.0,0.5969872126163901
