epoch,loss,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_f1_weighted,learning_rate,grad_norm,step,eval_precision_weighted,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,0.7430903865890895,,,,,,,6.667445846968989e-06,6.2053422927856445,4278,,,,,,,,,,
1.0,,0.697110116481781,0.7225252249795473,0.6861341577394686,0.6948505486707992,0.6872107657107871,0.7295790223031783,,,4278,0.7410226657851728,0.7225252249795473,56.7614,258.415,16.155,,,,,
2.0,0.646041235226011,,,,,,,3.3341125136356554e-06,6.228652477264404,8556,,,,,,,,,,
2.0,,0.7126226425170898,0.7234115080447232,0.6899855439346728,0.7001637969203566,0.6906930357522426,0.7311586596225873,,,8556,0.7449568104508236,0.7234115080447232,56.8814,257.87,16.121,,,,,
3.0,0.5754984623363721,,,,,,,7.791803023219574e-10,4.85359525680542,12834,,,,,,,,,,
3.0,,0.732794463634491,0.7322743386964822,0.6928834814257462,0.6998582937572481,0.6950308107356834,0.736267639391817,,,12834,0.7421021718747401,0.7322743386964822,57.1516,256.651,16.045,,,,,
3.0,,,,,,,,,,12834,,,,,,2653.9755,77.37,4.836,5882588042670612.0,0.6548766947171576
